ID,Produto,Marca,Vendas,Valor Unitário,Categoria,Data da Venda,Nome do Cliente,Cidade do Cliente
2848,Aspirador de Pó,LG,5,5667.74,Eletroportáteis,2023-11-23,Srta. Rebeca Castro,Rocha do Oeste
2849,Cafeteira,Samsung,3,4895.63,Eletroportáteis,2025-01-13,Juliana Pinto,Lima
2850,Máquina de Lavar,Consul,2,1772.73,Linha Branca,2024-08-23,Sra. Carolina Nunes,da Conceição de Mendes
2851,Geladeira,LG,2,607.91,Linha Branca,2024-09-11,Eduarda Novaes,Lima do Galho
2852,Aspirador de Pó,Panasonic,5,2560.23,Eletroportáteis,2023-11-01,André Dias,Nunes da Mata
2853,Ar-Condicionado,Samsung,2,3600.9,Climatização,2023-12-07,Maria Fernanda Silveira,da Rocha
2854,Máquina de Lavar,Britânia,5,1594.34,Linha Branca,2023-10-18,Davi Araújo,Almeida do Sul
2855,Micro-ondas,Britânia,1,1850.9,Eletroportáteis,2023-11-10,Alícia Viana,Monteiro da Prata
2856,Ar-Condicionado,Samsung,5,3490.35,Climatização,2024-12-17,Emanuelly Jesus,Gomes do Amparo
2857,Cafeteira,Britânia,5,1416.94,Eletroportáteis,2024-01-01,Daniel da Mota,Cunha
2858,Geladeira,Brastemp,3,795.21,Linha Branca,2024-03-21,Stephany Cardoso,Martins de Nogueira
2859,Cafeteira,Consul,3,5502.67,Eletroportáteis,2024-04-20,Benício Teixeira,da Mata do Campo
2860,Liquidificador,Philco,3,5270.16,Eletroportáteis,2023-12-29,Srta. Eloah Rocha,Nascimento
2861,Secadora,LG,1,2261.44,Linha Branca,2024-05-01,Sr. Lucas Souza,Caldeira dos Dourados
2862,Televisão,Midea,3,358.49,Eletrônicos,2024-07-27,Theo Sales,Pereira de Monteiro
2863,Micro-ondas,Samsung,3,1457.85,Eletroportáteis,2023-10-22,Sophia Silva,Lima
2864,Ar-Condicionado,Brastemp,5,5019.31,Climatização,2025-02-24,Bryan Rocha,Nogueira da Prata
2865,Televisão,Brastemp,5,4506.6,Eletrônicos,2024-03-28,Dr. Danilo Rodrigues,Vieira Grande
2866,Fogão,Philco,5,2473.95,Linha Branca,2025-01-10,João Guilherme Costa,Gonçalves
2867,Secadora,Brastemp,3,2261.03,Linha Branca,2024-08-28,Stella Cardoso,da Cruz do Galho
2868,Máquina de Lavar,Panasonic,2,2911.59,Linha Branca,2023-11-24,Sr. Arthur Araújo,da Conceição
2869,Secadora,Britânia,2,2616.88,Linha Branca,2023-09-17,Theo da Rosa,Teixeira de Oliveira
2870,Fogão,Brastemp,2,1344.69,Linha Branca,2024-12-13,Ana Beatriz Costa,Rodrigues do Sul
2871,Geladeira,Midea,4,2812.42,Linha Branca,2023-10-26,Yuri da Conceição,Jesus do Sul
2872,Cafeteira,Consul,2,2115.72,Eletroportáteis,2025-04-10,Sr. Isaac Almeida,Oliveira da Mata
2873,Aspirador de Pó,Electrolux,5,495.87,Eletroportáteis,2024-02-22,Thales Cunha,Moreira
2874,Máquina de Lavar,Britânia,3,5468.94,Linha Branca,2024-08-21,Dra. Lívia Oliveira,Oliveira Grande
2875,Cafeteira,Mondial,5,2430.16,Eletroportáteis,2024-11-11,Manuela Pinto,da Paz dos Dourados
2876,Ar-Condicionado,Mondial,1,5147.46,Climatização,2025-01-28,Fernanda das Neves,Duarte
2877,Ar-Condicionado,LG,4,3585.25,Climatização,2024-04-16,Enrico Azevedo,Gomes
2878,Geladeira,Philco,1,2607.9,Linha Branca,2024-09-29,Samuel da Rosa,Moreira de Araújo
2879,Ar-Condicionado,Philco,5,4554.68,Climatização,2025-01-28,Leonardo da Luz,da Costa
2880,Secadora,Britânia,4,579.88,Linha Branca,2024-04-11,Srta. Mirella da Rocha,Pereira
2881,Ar-Condicionado,Midea,3,5986.19,Climatização,2024-10-05,Kaique Silva,Silva de Martins
2882,Fogão,Consul,2,4741.91,Linha Branca,2025-05-23,Kaique Souza,Cunha
2883,Aspirador de Pó,Panasonic,3,3562.3,Eletroportáteis,2025-06-21,Pedro Miguel Farias,Novaes
2884,Máquina de Lavar,Britânia,1,1440.86,Linha Branca,2025-02-02,Juan Silva,Oliveira da Mata
2885,Aspirador de Pó,Samsung,2,4307.19,Eletroportáteis,2023-08-24,Fernando Aragão,Pereira da Praia
2886,Aspirador de Pó,Electrolux,5,4420.29,Eletroportáteis,2024-06-24,Srta. Luana Fogaça,Nascimento
2887,Cafeteira,Britânia,4,2448.02,Eletroportáteis,2025-06-28,Luiz Otávio Teixeira,Vieira
2888,Televisão,Mondial,1,2042.04,Eletrônicos,2023-10-28,Paulo Ramos,Jesus Verde
2889,Micro-ondas,Mondial,4,5158.56,Eletroportáteis,2023-07-19,Francisco da Costa,Viana Alegre
2890,Máquina de Lavar,Mondial,1,2591.26,Linha Branca,2024-02-14,Cecília Costa,Vieira
2891,Ar-Condicionado,Samsung,5,1417.04,Climatização,2024-11-05,Luiza Vieira,Cavalcanti do Norte
2892,Micro-ondas,Electrolux,5,936.73,Eletroportáteis,2023-07-14,Heloísa Cavalcanti,Fogaça de Novaes
2893,Secadora,Panasonic,3,1932.86,Linha Branca,2024-08-17,Davi Alves,Alves
2894,Geladeira,Mondial,4,2735.11,Linha Branca,2024-02-11,Dr. Daniel Barbosa,Campos de Pinto
2895,Geladeira,Samsung,2,4554.98,Linha Branca,2025-02-27,Sra. Juliana Ramos,da Mota
2896,Liquidificador,Midea,3,2716.07,Eletroportáteis,2024-07-24,Sr. Emanuel Cardoso,das Neves da Mata
2897,Secadora,Midea,1,4695.52,Linha Branca,2025-04-12,Carolina Santos,Ramos
2898,Liquidificador,Britânia,3,1470.87,Eletroportáteis,2023-09-09,Vicente Carvalho,da Mata de Goiás
2899,Secadora,Mondial,2,1893.39,Linha Branca,2024-07-21,Maria Julia Cavalcanti,Vieira
2900,Máquina de Lavar,Britânia,3,5564.06,Linha Branca,2024-03-11,Pedro Pires,Peixoto
2901,Ar-Condicionado,LG,2,3457.93,Climatização,2023-08-16,Benício da Rocha,Jesus
2902,Micro-ondas,Philco,1,2246.14,Eletroportáteis,2025-04-04,Marcela Sales,Martins de Correia
2903,Micro-ondas,Philco,4,1181.64,Eletroportáteis,2025-02-26,Mirella Cavalcanti,Cardoso
2904,Aspirador de Pó,Samsung,2,1941.23,Eletroportáteis,2025-07-05,Fernanda Silveira,Cardoso
2905,Liquidificador,Midea,4,1718.6,Eletroportáteis,2023-12-12,Calebe Ribeiro,da Mata
2906,Aspirador de Pó,Panasonic,2,2059.76,Eletroportáteis,2024-09-09,Sabrina Rocha,Monteiro de Barbosa
2907,Ar-Condicionado,Philco,5,3709.23,Climatização,2025-05-22,Catarina Barros,Freitas de Mendes
2908,Micro-ondas,Consul,1,2875.9,Eletroportáteis,2025-07-02,Daniela Santos,Gomes
2909,Máquina de Lavar,Philco,3,4503.33,Linha Branca,2024-12-15,Daniela Aragão,da Paz Verde
2910,Geladeira,Britânia,5,2436.71,Linha Branca,2024-07-14,Davi Luiz Jesus,Rocha das Flores
2911,Geladeira,Panasonic,5,913.29,Linha Branca,2024-02-22,Dra. Natália Vieira,Cardoso
2912,Liquidificador,Samsung,3,2024.15,Eletroportáteis,2024-04-26,Maria Carvalho,Porto
2913,Fogão,Electrolux,3,1614.03,Linha Branca,2023-12-06,Thales Rocha,Novaes
2914,Geladeira,Philco,5,4822.15,Linha Branca,2024-03-21,Marcelo Mendes,da Mata Alegre
2915,Geladeira,Midea,4,1967.22,Linha Branca,2024-07-14,Nicole da Rocha,Costela de da Rocha
2916,Fogão,Panasonic,3,1376.48,Linha Branca,2024-12-21,Emilly Costela,Pinto
2917,Cafeteira,Mondial,1,4228.29,Eletroportáteis,2025-01-19,Enzo Cardoso,Farias do Sul
2918,Cafeteira,Electrolux,1,2286.07,Eletroportáteis,2024-04-04,Sra. Agatha Silva,Araújo
2919,Aspirador de Pó,Britânia,3,677.43,Eletroportáteis,2024-10-05,Leonardo da Cunha,Gomes da Serra
2920,Ar-Condicionado,Britânia,2,3180.59,Climatização,2024-03-27,Ana Sophia da Mata,Peixoto
2921,Ar-Condicionado,Britânia,5,644.86,Climatização,2024-11-15,Manuela Aragão,Nunes
2922,Liquidificador,Britânia,1,642.06,Eletroportáteis,2023-12-21,João Lucas Carvalho,da Costa
2923,Aspirador de Pó,Electrolux,5,3226.49,Eletroportáteis,2023-12-03,Letícia Almeida,Pereira Verde
2924,Cafeteira,Consul,1,5062.94,Eletroportáteis,2025-05-01,Lorenzo da Mata,Caldeira de da Paz
2925,Ar-Condicionado,Midea,3,4908.96,Climatização,2025-06-19,Sofia Ribeiro,Oliveira
2926,Máquina de Lavar,LG,1,2412.68,Linha Branca,2025-01-01,Amanda Porto,da Conceição do Norte
2927,Cafeteira,Midea,4,1476.67,Eletroportáteis,2024-10-12,Esther da Rosa,Caldeira
2928,Máquina de Lavar,Britânia,2,3086.43,Linha Branca,2023-12-21,Nicole Peixoto,Oliveira
2929,Televisão,Britânia,3,3460.65,Eletrônicos,2025-06-18,Henrique Rezende,Nascimento
2930,Fogão,Philco,4,1259.5,Linha Branca,2023-12-02,Dra. Emilly Ribeiro,Cardoso
2931,Televisão,Brastemp,2,641.64,Eletrônicos,2025-01-15,Heitor Monteiro,Melo
2932,Secadora,Philco,5,5868.65,Linha Branca,2023-10-19,João Pedro Monteiro,Lima da Mata
2933,Cafeteira,Midea,4,975.95,Eletroportáteis,2024-06-23,Sabrina Farias,Correia da Serra
2934,Televisão,LG,1,4787.73,Eletrônicos,2024-12-25,Marcos Vinicius Cunha,Mendes
2935,Secadora,LG,1,2414.77,Linha Branca,2025-07-03,Carlos Eduardo Cunha,Pires
2936,Secadora,Brastemp,3,1786.24,Linha Branca,2024-10-11,Clarice Cunha,Barros de Pires
2937,Liquidificador,Panasonic,4,670.04,Eletroportáteis,2024-04-27,Dra. Alícia Rodrigues,Pereira
2938,Ar-Condicionado,Samsung,1,3274.28,Climatização,2025-04-26,Leandro Pereira,Costa do Campo
2939,Geladeira,Mondial,5,4915.92,Linha Branca,2023-11-27,Juan Rodrigues,da Mota
2940,Geladeira,Consul,1,985.35,Linha Branca,2024-03-26,Maysa Oliveira,Gonçalves do Amparo
2941,Ar-Condicionado,Panasonic,2,1866.28,Climatização,2023-10-19,Lorenzo Moreira,Vieira Paulista
2942,Secadora,Electrolux,5,5464.45,Linha Branca,2025-03-31,Paulo Souza,da Mota de Carvalho
2943,Geladeira,Panasonic,3,4441.3,Linha Branca,2024-03-11,Kevin Rezende,Fogaça
2944,Liquidificador,Samsung,5,1560.64,Eletroportáteis,2023-09-12,Maria Rezende,Ferreira
2945,Fogão,Panasonic,2,3457.23,Linha Branca,2024-08-28,Vinicius Costela,da Cunha
2946,Fogão,Samsung,5,3042.99,Linha Branca,2024-06-14,Nathan Souza,Araújo das Flores
2947,Liquidificador,Mondial,1,845.2,Eletroportáteis,2025-01-13,Yago da Conceição,Ribeiro
2948,Máquina de Lavar,Panasonic,2,5496.9,Linha Branca,2023-12-23,Helena Almeida,Barbosa
2949,Fogão,Philco,3,4446.37,Linha Branca,2024-03-17,Isabella Silva,Azevedo
2950,Liquidificador,Midea,4,4804.6,Eletroportáteis,2023-10-24,Gustavo Henrique Gonçalves,Campos
2951,Televisão,Midea,2,505.63,Eletrônicos,2023-12-31,Dra. Lorena Silveira,da Mota
2952,Televisão,Consul,1,5795.02,Eletrônicos,2023-11-15,João Pedro Lima,Correia
2953,Liquidificador,LG,5,3886.27,Eletroportáteis,2023-10-12,Srta. Ana Carolina Campos,Aragão da Praia
2954,Fogão,Brastemp,4,690.77,Linha Branca,2024-02-07,Renan Ramos,Souza das Pedras
2955,Fogão,Consul,1,5990.28,Linha Branca,2024-07-04,Dr. João Gabriel Alves,da Cruz
2956,Cafeteira,Panasonic,3,219.09,Eletroportáteis,2024-02-11,Ana Clara Rodrigues,Dias Alegre
2957,Cafeteira,Mondial,2,4114.14,Eletroportáteis,2023-08-14,Thales das Neves,Carvalho de da Costa
2958,Liquidificador,Brastemp,4,1406.66,Eletroportáteis,2024-08-27,Nathan Sales,Correia do Oeste
2959,Micro-ondas,LG,3,1624.85,Eletroportáteis,2025-02-28,Marina Ramos,Dias de Silveira
2960,Micro-ondas,Philco,4,2225.57,Eletroportáteis,2025-03-18,Heitor Freitas,Nascimento
2961,Cafeteira,Brastemp,2,3796.99,Eletroportáteis,2024-07-09,Dra. Camila Araújo,Nogueira
2962,Geladeira,Philco,5,4530.6,Linha Branca,2025-06-28,Joana Sales,Santos
2963,Máquina de Lavar,Mondial,1,2665.19,Linha Branca,2025-02-05,Diogo Nascimento,Cavalcanti
2964,Máquina de Lavar,Philco,4,1528.26,Linha Branca,2024-10-05,Eloah da Luz,Azevedo da Mata
2965,Liquidificador,Samsung,1,4525.09,Eletroportáteis,2025-03-19,Bernardo da Cruz,Farias
2966,Cafeteira,Mondial,1,866.87,Eletroportáteis,2024-11-27,Maria da Conceição,Cunha das Flores
2967,Geladeira,Panasonic,3,2661.7,Linha Branca,2024-02-18,Ana Beatriz Duarte,da Costa da Prata
2968,Televisão,LG,4,239.58,Eletrônicos,2024-05-20,Thiago Caldeira,Novaes
2969,Ar-Condicionado,Samsung,3,2033.56,Climatização,2024-10-13,Dr. Noah Rezende,da Mota
2970,Fogão,Mondial,4,1724.9,Linha Branca,2024-03-19,Kamilly da Rocha,da Mota do Oeste
2971,Geladeira,Midea,3,3209.52,Linha Branca,2025-02-23,Luiz Fernando Nogueira,Pires
2972,Secadora,Mondial,2,1252.9,Linha Branca,2024-02-26,Sr. Pedro Henrique Silva,Farias
2973,Geladeira,Electrolux,5,4127.65,Linha Branca,2025-03-06,Juan Mendes,Correia do Galho
2974,Televisão,Britânia,3,689.49,Eletrônicos,2023-10-12,Emanuelly Almeida,Pires Paulista
2975,Secadora,Midea,4,2389.05,Linha Branca,2023-09-20,Davi Lucas Souza,da Mota
2976,Televisão,LG,1,3334.5,Eletrônicos,2024-07-10,Larissa Farias,Alves
2977,Televisão,Midea,5,3540.02,Eletrônicos,2024-03-25,Sra. Bárbara Nogueira,Azevedo de Aragão
2978,Fogão,Panasonic,5,5341.9,Linha Branca,2024-10-18,Erick da Cunha,Araújo do Sul
2979,Geladeira,Midea,2,5456.59,Linha Branca,2024-11-09,Leonardo Mendes,Moraes de Azevedo
2980,Liquidificador,LG,4,4220.74,Eletroportáteis,2024-01-17,Clarice Correia,Nogueira
2981,Cafeteira,Philco,5,1132.99,Eletroportáteis,2025-06-08,Vitor Teixeira,Nascimento
2982,Ar-Condicionado,Panasonic,3,3965.99,Climatização,2025-02-18,Marina Carvalho,Gonçalves
2983,Aspirador de Pó,Electrolux,1,4655.75,Eletroportáteis,2024-01-11,Maysa Alves,Ferreira de Oliveira
2984,Geladeira,Midea,4,4641.54,Linha Branca,2024-07-12,Henrique Campos,Castro
2985,Aspirador de Pó,Samsung,2,3904.79,Eletroportáteis,2025-01-25,Ana Clara Silva,Aragão
2986,Aspirador de Pó,LG,1,5919.58,Eletroportáteis,2024-11-29,Camila Pinto,Duarte da Mata
2987,Televisão,Samsung,1,673.7,Eletrônicos,2023-12-29,Maysa Carvalho,Moraes
2988,Ar-Condicionado,LG,4,2202.72,Climatização,2025-01-28,Lavínia Moraes,Nascimento
2989,Fogão,LG,3,2251.01,Linha Branca,2023-11-10,Dr. Vitor Hugo Porto,Porto
2990,Aspirador de Pó,Samsung,4,2112.29,Eletroportáteis,2024-02-01,Maria Alice Ramos,Mendes
2991,Micro-ondas,Samsung,4,3626.45,Eletroportáteis,2025-01-18,Caio Moraes,Peixoto
2992,Aspirador de Pó,Consul,3,3364.61,Eletroportáteis,2024-02-21,Alice Costa,Sales
2993,Máquina de Lavar,Mondial,1,1743.92,Linha Branca,2025-03-18,Joana Ramos,Cardoso
2994,Ar-Condicionado,Panasonic,5,4205.26,Climatização,2023-09-11,Maria Clara Cavalcanti,Pires Grande
2995,Máquina de Lavar,Samsung,3,3872.03,Linha Branca,2025-03-10,Isabella Silveira,Azevedo
2996,Televisão,Midea,1,354.2,Eletrônicos,2024-09-17,Srta. Ana Lívia da Rocha,Cardoso de Novaes
2997,Micro-ondas,Philco,2,2392.85,Eletroportáteis,2023-12-14,Cauã Araújo,Ferreira
2998,Cafeteira,Midea,5,5836.7,Eletroportáteis,2025-03-23,Dr. Diego Silva,da Paz
2999,Televisão,Consul,1,895.31,Eletrônicos,2024-03-22,Thomas Silveira,Vieira de Azevedo
3000,Fogão,Brastemp,2,3459.21,Linha Branca,2025-01-10,Kaique Freitas,Sales
3001,Televisão,LG,1,4861.96,Eletrônicos,2024-01-28,Luiz Otávio Rocha,Santos
3002,Cafeteira,Philco,1,3574.03,Eletroportáteis,2023-07-23,Ryan Nunes,Pinto
3003,Micro-ondas,Samsung,5,5333.58,Eletroportáteis,2025-05-22,Paulo Novaes,Rocha
3004,Televisão,Consul,3,4585.79,Eletrônicos,2024-09-10,Thales Costela,Araújo
3005,Micro-ondas,Britânia,3,5568.08,Eletroportáteis,2023-11-07,Thiago Azevedo,Santos
3006,Máquina de Lavar,Brastemp,2,1933.92,Linha Branca,2024-01-27,Sr. Emanuel Aragão,Rocha das Flores
3007,Micro-ondas,Samsung,4,2620.22,Eletroportáteis,2024-09-26,Henrique Rezende,Pinto
3008,Máquina de Lavar,Consul,4,2772.27,Linha Branca,2024-03-27,Bruna Martins,Fogaça
3009,Micro-ondas,Britânia,1,4057.85,Eletroportáteis,2023-10-14,Sr. Enzo Caldeira,Novaes
3010,Liquidificador,Consul,2,860.44,Eletroportáteis,2025-02-14,Laura Campos,Moraes
3011,Cafeteira,Britânia,1,4072.24,Eletroportáteis,2024-10-25,Kevin Caldeira,Viana do Oeste
3012,Cafeteira,Brastemp,5,5401.43,Eletroportáteis,2023-08-03,Gustavo Barbosa,Rodrigues da Prata
3013,Micro-ondas,Brastemp,2,5478.03,Eletroportáteis,2025-03-13,Emanuella Vieira,da Mota de Cardoso
3014,Fogão,Brastemp,3,3571.07,Linha Branca,2024-08-30,Sophie Aragão,Ferreira
3015,Máquina de Lavar,Panasonic,2,5641.13,Linha Branca,2023-07-29,Benjamin Cardoso,Farias da Mata
3016,Fogão,Electrolux,1,1943.99,Linha Branca,2025-04-06,Raul Souza,da Rocha Alegre
3017,Máquina de Lavar,Mondial,5,4321.2,Linha Branca,2025-04-12,Bryan Silva,Jesus
3018,Televisão,Brastemp,1,2376.67,Eletrônicos,2024-08-01,Luiz Gustavo Barbosa,Caldeira de Jesus
3019,Televisão,Philco,3,3722.08,Eletrônicos,2024-07-17,Rebeca Silva,Teixeira Verde
3020,Cafeteira,Samsung,1,1782.66,Eletroportáteis,2025-04-28,Isabelly Melo,Pires
3021,Televisão,Britânia,4,557.23,Eletrônicos,2023-12-20,Lara Mendes,Cunha do Norte
3022,Televisão,Britânia,2,1837.05,Eletrônicos,2024-04-16,Sr. Pedro Miguel das Neves,Moura da Prata
3023,Aspirador de Pó,Electrolux,4,1403.72,Eletroportáteis,2024-11-09,Sr. Erick Araújo,Rocha
3024,Geladeira,Electrolux,3,3607.63,Linha Branca,2025-06-12,Pedro Henrique Fogaça,da Rosa da Mata
3025,Geladeira,LG,2,3802.22,Linha Branca,2024-02-09,Ana Ramos,Moreira de Pereira
3026,Televisão,Electrolux,4,800.04,Eletrônicos,2025-04-22,Sr. Benício Pereira,da Cunha
3027,Máquina de Lavar,Mondial,4,5649.55,Linha Branca,2023-10-17,Nicole Freitas,Freitas da Mata
3028,Aspirador de Pó,Electrolux,5,1092.4,Eletroportáteis,2025-05-19,Emanuel da Cruz,Novaes
3029,Aspirador de Pó,Philco,1,4836.23,Eletroportáteis,2024-09-23,Pedro Miguel Nascimento,Silveira
3030,Micro-ondas,Electrolux,4,2197.44,Eletroportáteis,2024-04-19,Ana Lívia Carvalho,Vieira Verde
3031,Televisão,Midea,3,2345.19,Eletrônicos,2024-06-01,Pietra Vieira,Monteiro de Caldeira
3032,Geladeira,Britânia,4,2454.87,Linha Branca,2024-04-25,Sr. Vinicius da Mota,Nascimento do Norte
3033,Ar-Condicionado,Britânia,5,5687.71,Climatização,2024-09-07,Carolina Ramos,Freitas
3034,Liquidificador,Philco,5,5750.46,Eletroportáteis,2023-12-10,Felipe Santos,Porto
3035,Televisão,Electrolux,1,2417.4,Eletrônicos,2025-05-31,Sr. Levi Jesus,Cunha da Mata
3036,Televisão,Britânia,2,4042.56,Eletrônicos,2025-02-21,Stella da Paz,Silva de Goiás
3037,Máquina de Lavar,Consul,2,2063.51,Linha Branca,2024-01-19,Luana Aragão,Silva
3038,Fogão,Samsung,3,914.66,Linha Branca,2024-04-25,Kaique da Conceição,da Mata de da Mota
3039,Máquina de Lavar,Samsung,5,1928.26,Linha Branca,2025-03-28,Alana Correia,Costa
3040,Micro-ondas,Brastemp,1,1322.71,Eletroportáteis,2024-01-28,Vitor Gabriel Nascimento,da Conceição
3041,Máquina de Lavar,Samsung,3,5293.14,Linha Branca,2024-12-27,Sra. Pietra Nunes,da Mata
3042,Televisão,LG,5,5679.43,Eletrônicos,2025-06-09,Luiz Felipe Nascimento,Moreira
3043,Liquidificador,Samsung,5,531.51,Eletroportáteis,2024-03-03,Maria Clara Peixoto,Moreira
3044,Máquina de Lavar,Britânia,4,5028.99,Linha Branca,2025-06-02,Evelyn Azevedo,Nunes
3045,Liquidificador,Mondial,1,2843.38,Eletroportáteis,2025-03-22,Dra. Fernanda Pires,Rezende das Pedras
3046,Geladeira,Consul,2,2823.38,Linha Branca,2025-02-01,Luiz Felipe da Rosa,Melo
3047,Liquidificador,Samsung,2,1257.01,Eletroportáteis,2024-03-12,Sr. Lucas Gabriel Castro,Costa do Campo
3048,Geladeira,LG,4,5262.67,Linha Branca,2024-04-25,Emanuella Silva,Rezende de Ramos
3049,Máquina de Lavar,Mondial,2,5445.77,Linha Branca,2024-06-15,Arthur Rocha,da Costa
3050,Cafeteira,Mondial,4,4427.51,Eletroportáteis,2023-09-09,João Lima,Lopes
3051,Fogão,LG,4,995.86,Linha Branca,2024-05-17,Luiz Felipe Costela,das Neves Grande
3052,Aspirador de Pó,Consul,2,871.7,Eletroportáteis,2025-06-06,Srta. Agatha das Neves,Jesus
3053,Geladeira,Electrolux,1,2800.24,Linha Branca,2025-03-11,Julia Cardoso,Melo de Silveira
3054,Televisão,Brastemp,1,4169.22,Eletrônicos,2024-06-16,Luigi Caldeira,Nogueira dos Dourados
3055,Secadora,Brastemp,5,5410.16,Linha Branca,2024-08-15,Emanuelly Moreira,Alves
3056,Cafeteira,Panasonic,1,5829.33,Eletroportáteis,2024-08-02,Marcelo Almeida,Castro
3057,Cafeteira,Britânia,5,5255.26,Eletroportáteis,2024-04-20,Leonardo da Paz,Pereira dos Dourados
3058,Micro-ondas,Samsung,3,5246.27,Eletroportáteis,2025-05-22,Lorena da Mota,Lopes dos Dourados
3059,Liquidificador,Philco,5,1437.46,Eletroportáteis,2024-09-12,Luana da Cunha,Nunes
3060,Televisão,Mondial,2,1390.37,Eletrônicos,2025-04-30,Dr. Renan Novaes,da Rosa do Oeste
3061,Ar-Condicionado,Britânia,2,1420.83,Climatização,2025-06-22,Gustavo Henrique Cardoso,da Rosa da Praia
3062,Secadora,Electrolux,2,5854.99,Linha Branca,2025-06-23,Laura Campos,Martins de Pires
3063,Ar-Condicionado,Midea,3,5230.48,Climatização,2024-03-15,Luiz Fernando Jesus,Sales da Serra
3064,Cafeteira,Samsung,4,681.02,Eletroportáteis,2023-09-09,Luiz Henrique Jesus,Viana
3065,Aspirador de Pó,Samsung,5,5005.11,Eletroportáteis,2024-04-09,Henrique Azevedo,Teixeira das Flores
3066,Máquina de Lavar,Consul,2,2840.24,Linha Branca,2024-12-30,Dra. Helena Farias,Azevedo de da Cruz
3067,Ar-Condicionado,Electrolux,3,4926.12,Climatização,2024-12-19,Gabriel Carvalho,Campos Grande
3068,Ar-Condicionado,Philco,2,5125.36,Climatização,2024-02-22,Marcela Ribeiro,Novaes de Lima
3069,Cafeteira,Britânia,1,3128.37,Eletroportáteis,2024-09-20,André Oliveira,Barbosa Grande
3070,Ar-Condicionado,LG,4,2525.79,Climatização,2024-04-23,Thiago Cardoso,Campos
3071,Fogão,Samsung,3,3045.99,Linha Branca,2024-12-01,Anthony Correia,Silva Verde
3072,Aspirador de Pó,LG,3,3084.66,Eletroportáteis,2024-09-13,Enrico Fogaça,Souza Paulista
3073,Televisão,Midea,2,3688.9,Eletrônicos,2024-03-12,Ana Beatriz Gomes,da Rosa
3074,Televisão,Philco,3,5204.46,Eletrônicos,2023-12-19,Daniel da Mota,Cunha de Freitas
3075,Fogão,Consul,5,5688.48,Linha Branca,2025-03-08,Maria Vitória Martins,das Neves de Santos
3076,Liquidificador,Panasonic,4,4300.98,Eletroportáteis,2024-07-23,Enzo Gabriel Martins,Moraes Paulista
3077,Fogão,Samsung,1,3640.73,Linha Branca,2024-06-13,Bernardo Pinto,Moraes de Minas
3078,Cafeteira,Brastemp,4,4704.79,Eletroportáteis,2025-06-15,Gabriela Viana,Rodrigues da Serra
3079,Aspirador de Pó,Samsung,3,906.39,Eletroportáteis,2024-01-16,Kevin Cunha,Nascimento do Galho
3080,Fogão,Brastemp,2,3204.12,Linha Branca,2024-01-26,Stella Costa,Lopes
3081,Secadora,Mondial,1,2127.33,Linha Branca,2024-07-30,Vinicius Ramos,Cardoso
3082,Micro-ondas,LG,2,1419.06,Eletroportáteis,2024-10-13,Ana Júlia Jesus,da Mata de Viana
3083,Máquina de Lavar,Philco,5,5874.45,Linha Branca,2023-10-07,Maitê Santos,Pereira de Azevedo
3084,Micro-ondas,Electrolux,4,3931.52,Eletroportáteis,2024-08-26,Luiz Henrique Cardoso,Mendes
3085,Fogão,LG,1,2236.29,Linha Branca,2023-11-03,Renan Farias,Martins
3086,Televisão,LG,1,926.37,Eletrônicos,2023-10-12,Amanda Alves,Carvalho dos Dourados
3087,Fogão,LG,3,2462.04,Linha Branca,2024-12-27,Enrico Costela,Martins de Minas
3088,Ar-Condicionado,Britânia,4,5253.61,Climatização,2023-07-15,Guilherme Fernandes,Rocha dos Dourados
3089,Televisão,Samsung,4,5569.96,Eletrônicos,2025-06-02,Renan Cardoso,Correia
3090,Ar-Condicionado,Brastemp,4,1682.65,Climatização,2024-11-13,João Vitor Melo,Peixoto
3091,Micro-ondas,Mondial,3,388.03,Eletroportáteis,2024-12-05,Sarah da Cunha,Cavalcanti da Serra
3092,Micro-ondas,Midea,5,4515.59,Eletroportáteis,2023-12-17,Levi Monteiro,Teixeira do Galho
3093,Máquina de Lavar,Philco,2,5433.83,Linha Branca,2025-06-21,Olivia Peixoto,Aragão
3094,Secadora,Britânia,1,3652.59,Linha Branca,2023-08-06,Eloah Caldeira,Oliveira
3095,Ar-Condicionado,Consul,5,5374.25,Climatização,2023-08-09,Valentina Rodrigues,Dias de Jesus
3096,Micro-ondas,Brastemp,4,3464.22,Eletroportáteis,2025-05-26,Dr. Guilherme Ferreira,Lopes
3097,Micro-ondas,Midea,2,231.74,Eletroportáteis,2025-04-18,Lorena Cardoso,Alves
3098,Aspirador de Pó,Midea,3,5023.21,Eletroportáteis,2025-03-12,Sra. Ana Julia da Paz,Cavalcanti
3099,Micro-ondas,Consul,2,3078.52,Eletroportáteis,2024-07-08,Elisa da Mota,Mendes do Sul
3100,Liquidificador,LG,3,1861.28,Eletroportáteis,2023-07-30,Enzo Gabriel Mendes,Peixoto de Ferreira
3101,Cafeteira,Consul,5,216.61,Eletroportáteis,2024-07-25,Luiz Henrique Azevedo,Campos
3102,Cafeteira,Samsung,5,5629.18,Eletroportáteis,2024-02-03,Manuela Monteiro,Lima Verde
3103,Ar-Condicionado,Britânia,3,2339.46,Climatização,2023-10-09,Mariana da Conceição,Moura das Flores
